course number,name,units,schedule,professor
11796,Archi 233 FOPQ,3.0,F 6-9PM lec TBA,"VARONA, MARIA FAITH"
11785,Archi 241 TOPQ,3.0,T 6-9PM lec TBA,"SANTOS, MICHAELA ROSETTE"
11758,Archi 242 FOPQ,3.0,F 6-9PM lec TBA,"LUNA, MARKEL CESAR"
11679,Archi 243 SYZ,3.0,S 4-7PM lec TBA,"LIWANAG, MICHAEL ANGELO"
11753,Archi 244 HOPQ,3.0,Th 6-9PM lec TBA,"LICO, GERARD REY"
11713,Archi 252 MOPQ,3.0,M 6-9PM lec TBA,"BARIA, RICHELLE RHEA"
11710,Archi 253 MOPQ,3.0,M 6-9PM lec TBA,"BALANE, RONALD"
11721,Archi 262 WOPQ,3.0,W 6-9PM lec TBA,"CHUA, JOHANNES VINCENT"
11707,Archi 299 MOPQ,2.0,M 6-8PM seminar TBA,"ARANETA, MAUREEN ANNE"
62255,Arkiyoloji 1 THW,3.0,TTh 1-2:30PM lec Classroom A,"REYES, JOAN TARA"
62256,Arkiyoloji 1 THX,3.0,TTh 2:30-4PM lec Classroom A,"REYES, JOAN TARA"
62257,Arkiyoloji 1 WFW,3.0,WF 1-2:30PM lec Classroom A,"COSALAN, ANDREA DOMINIQUE"
62258,Arkiyoloji 1 WFX,3.0,WF 2:30-4PM lec Classroom A,"COSALAN, ANDREA DOMINIQUE"
62259,Arkiyoloji 1 WFY,3.0,WF 4-5:30PM lec Classroom A,"MANIPON, DANTE RICARDO"
62260,Arkiyoloji 1 WFZ,3.0,WF 5:30-7PM lec Classroom A,"MANIPON, DANTE RICARDO"
13851,ARTS 1 THR,3.0,TTh 8:30-10AM lec TBA,"BANASIHAN, NIKOLAI ANDREI"
13852,ARTS 1 THR-1,3.0,TTh 8:30-10AM lec TBA,"ARAGO, GIANPAOLO"
13853,ARTS 1 THR-2,3.0,TTh 8:30-10AM lec TBA,"DATUIN, FLAUDETTE MAY"
13854,ARTS 1 THR-3,3.0,TTh 8:30-10AM lec TBA,"LUCENA, GERARDO"
13855,ARTS 1 THR-4,3.0,TTh 8:30-10AM lec TBA,"ESPEJO, LANCE ISAAC"
13856,ARTS 1 THU,3.0,TTh 10-11:30AM lec TBA,"BANASIHAN, NIKOLAI ANDREI"
13857,ARTS 1 THU-1,3.0,TTh 10-11:30AM lec TBA,"ARAGO, GIANPAOLO"
13858,ARTS 1 THU-2,3.0,TTh 10-11:30AM lec TBA,"RIVERA, ROBIN DANIEL"
13859,ARTS 1 THU-3,3.0,TTh 10-11:30AM lec TBA,"PAULINO, ROBERTO ELISEO"
13860,ARTS 1 THU-4,3.0,TTh 10-11:30AM lec TBA,"GIRON, MANUEL KRISTOFFERSON"
13861,ARTS 1 THU-5,3.0,TTh 10-11:30AM lec TBA,"LUCENA, GERARDO"
13862,ARTS 1 THU-6,3.0,TTh 10-11:30AM lec TBA,"LOPEZ, PATRICIA MARION"
13863,ARTS 1 THU-7,3.0,TTh 10-11:30AM lec TBA,"GO, NELISSA"
13864,ARTS 1 THU-8,3.0,TTh 10-11:30AM lec TBA,"CABRERA, MARIA CONSUELO"
13865,ARTS 1 THU-9,3.0,TTh 10-11:30AM lec TBA,"ESPEJO, LANCE ISAAC"
13866,ARTS 1 THV,3.0,TTh 11:30AM-1PM lec TBA,TBA
13867,ARTS 1 THV-1,3.0,TTh 11:30AM-1PM lec TBA,"GIRON, MANUEL KRISTOFFERSON"
13868,ARTS 1 THV-2,3.0,TTh 11:30AM-1PM lec TBA,"QUIRONG, JC"
13869,ARTS 1 THV-3,3.0,TTh 11:30AM-1PM lec TBA,"ABRERA, PATRICIA MARION"
13870,ARTS 1 THV-4,3.0,TTh 11:30AM-1PM lec TBA,"CABRERA, MARIA CONSUELO"
13952,ARTS 1 THV-5,3.0,TTh 11:30AM-1PM lec TBA,"YAMBAO, CLOD MARLAN KRISTER"
13871,ARTS 1 THW,3.0,TTh 1-2:30PM lec TBA,"RIVERA, ROBIN DANIEL"
13872,ARTS 1 THW-1,3.0,TTh 1-2:30PM lec TBA,"HERNANDEZ, ELOISA MAY"
13873,ARTS 1 THW-2,3.0,TTh 1-2:30PM lec TBA,"HIRANO, MAYUMI"
13874,ARTS 1 THW-3,3.0,TTh 1-2:30PM lec TBA,"LUCENA, GERARDO"
13875,ARTS 1 THW-4,3.0,TTh 1-2:30PM lec TBA,"QUIRONG, JC"
13876,ARTS 1 THW-5,3.0,TTh 1-2:30PM lec TBA,"GO, NELISSA"
13877,ARTS 1 THW-6,3.0,TTh 1-2:30PM lec TBA,"ESPEJO, LANCE ISAAC"
13953,ARTS 1 THW-7,3.0,TTh 1-2:30PM lec TBA,"YAMBAO, CLOD MARLAN KRISTER"
13878,ARTS 1 THX,3.0,TTh 2:30-4PM lec TBA,"ARAGO, GIANPAOLO"
13879,ARTS 1 THX-1,3.0,TTh 2:30-4PM lec TBA,"HERNANDEZ, ELOISA MAY"
13880,ARTS 1 THX-2,3.0,TTh 2:30-4PM lec TBA,"GIRON, MANUEL KRISTOFFERSON"
13881,ARTS 1 THX-3,3.0,TTh 2:30-4PM lec TBA,"LUCENA, GERARDO"
13882,ARTS 1 THX-4,3.0,TTh 2:30-4PM lec TBA,"GO, NELISSA"
13883,ARTS 1 THX-5,3.0,TTh 2:30-4PM lec TBA,"CABRERA, MARIA CONSUELO"
13884,ARTS 1 THX-6,3.0,TTh 2:30-4PM lec TBA,"ESPEJO, LANCE ISAAC"
13885,ARTS 1 THY,3.0,TTh 4-5:30PM lec TBA,"ARAGO, GIANPAOLO"
13886,ARTS 1 THY-1,3.0,TTh 4-5:30PM lec TBA,"GUILLERMO, SOFIA"
13887,ARTS 1 THY-2,3.0,TTh 4-5:30PM lec TBA,"GO, NELISSA"
13888,ARTS 1 THY-3,3.0,TTh 4-5:30PM lec TBA,"CABRERA, MARIA CONSUELO"
13958,ARTS 1 THZ,3.0,TTh 5:30-7PM lec TBA,TBA
13889,ARTS 1 WFQ,3.0,WF 7-8:30AM lec TBA,"ROSETTE, JUDITH CAMILLE"
13890,ARTS 1 WFQ-1,3.0,WF 7-8:30AM lec TBA,"LUGUE, MARK LOUIE"
13891,ARTS 1 WFR,3.0,WF 8:30-10AM lec TBA,"ROSETTE, JUDITH CAMILLE"
13892,ARTS 1 WFR-1,3.0,WF 8:30-10AM lec TBA,"LUGUE, MARK LOUIE"
13893,ARTS 1 WFR-2,3.0,WF 8:30-10AM lec TBA,"BANASIHAN, NIKOLAI ANDREI"
13894,ARTS 1 WFR-3,3.0,WF 8:30-10AM lec TBA,"SALAZAR, JAIME OSCAR"
13895,ARTS 1 WFR-4,3.0,WF 8:30-10AM lec TBA,"SAKILI, ABRAHAM"
13954,ARTS 1 WFR-5,3.0,WF 8:30-10AM lec TBA,"QUIRONG, JC"
13896,ARTS 1 WFU,3.0,WF 10-11:30AM lec TBA,"ROSETTE, JUDITH CAMILLE"
13897,ARTS 1 WFU-1,3.0,WF 10-11:30AM lec TBA,"HERNANDEZ, FREDYL"
13898,ARTS 1 WFU-2,3.0,WF 10-11:30AM lec TBA,"BANASIHAN, NIKOLAI ANDREI"
