label,value
French 11,3
French 12,3
French 13,6
French 16,3
French 30,3
French 51,3
French 61,3
French 101,3
French 130,3
FS 105,3
FS 110,5
FS 116,3
FS 127,3
FS 128,4
FS 131,3
FS 134,3
FS 139,3
FS 152,3
FS 157,3
FS 159,3
FS 178,3
FS 197,3
FS 199,3
FS 200,3
FS 217,3
FS 218,2
FS 231,2
FS 286,1
FS 290,3
FS 291,2
FS 299,3
FS 300,3
GE 1,3
GE 10,2
GE 11,4
GE 12,3
GE 30,3
GE 117,3
GE 118,4
GE 119,3
GE 120,3
GE 122,4
GE 127,3
GE 128,1
GE 142,3
GE 143,3
GE 148,4
GE 152,3
GE 153,3
GE 154,1
GE 155.1,1
GE 155.2,3
GE 168,1
GE 191,4
GE 199,3
GE 300,3
Geog 1,3
Geog 101,3
Geog 105,3
Geog 109,3
Geog 111,3
Geog 119,4
Geog 121,3
Geog 124,3
Geog 131,3
Geog 135,3
Geog 145,3
Geog 151,3
Geog 161,3
Geog 171,3
Geog 173,3
Geog 190,5
Geog 197,3
Geog 199,3
Geog 211,3
Geog 213,3
Geog 242,3
Geog 243,3
Geog 255,3
Geog 292,6
Geog 300,3
Geog 321,3
Geol 1,3
Geol 11,1
Geol 11.1,2
Geol 12,5
Geol 51,3
Geol 105,3
Geol 117,3
Geol 118,3
Geol 122,4
Geol 131,4
Geol 135,3
Geol 154,6
Geol 170,3
Geol 177,3
Geol 190,5
Geol 194,3
Geol 197,3
Geol 212,4
Geol 250,3
Geol 255,3
Geol 297,3
Geol 399,3
German 10,3
German 11,3
German 12,3
German 13,6
German 16,3
German 30,3
German 51,3
German 61,3
German 101,3
German 130,3
German 140,3
GIM 175,3
GmE 202,3
GmE 203,3
GmE 205,3
GmE 210,3
GmE 216,3
GmE 222,3
GmE 230,3
GmE 231,3
GmE 243,3
GS 197,3
Hapon 10,3
Hapon 11,3
Hapon 12,3
Hapon 13,3
Hapon 110,3
Hapon 120,3
Hapon 121,3
Hapon 122,3
HE 100,3
HE 101,1
HE 290,1
HE 390,3
HEEd 122,3
HEEd 131,3
HEEd 134,3
HEEd 137,3
HEEd 138,3
HEEd 139,3
HEEd 149,3
HEEd 197,3
HEEd 200,3
HEEd 214,3
HEEd 220,3
HEEd 288,6
HEEd 300,3
HEEd 400,3
HMS 201,3
HMS 206,3
HMS 214,3
HMS 215,3
HMS 217,3
HMS 231,3
HMS 234,3
HMS 241,3
HMS 242,3
HMS 298,3
HMS 299,6
HMS 300,3
HRIM 101,3
HRIM 102,3
HRIM 103,3
HRIM 106,3
HRIM 108,5
